,year,avg_temp,rolling_averages
21,1764,11,9.324
22,1765,10,9.67
23,1766,10,9.687999999999999
24,1767,9,9.606
25,1768,9,9.852
26,1769,10,9.684
27,1770,10,9.66
28,1771,10,9.65
29,1772,10,9.822000000000001
30,1773,10,10.116
31,1774,10,10.212
32,1775,11,10.478
33,1776,10,10.386
34,1777,10,10.265999999999998
35,1778,8,9.708
36,1779,10,9.718
37,1780,13,10.027999999999999
38,1781,10,10.068
39,1782,10,10.072000000000001
40,1783,9,10.434000000000001
41,1784,9,10.25
42,1785,9,9.582
43,1786,10,9.496
44,1787,10,9.514
45,1788,10,9.682
46,1789,10,9.808
47,1790,10,9.954
48,1791,10,10.027999999999999
49,1792,10,9.996
50,1793,10,9.98
51,1794,10,10.033999999999999
52,1795,10,10.05
53,1796,10,10.01
54,1797,10,10.017999999999999
55,1798,10,10.064
56,1799,10,10.026
57,1800,10,10.046
58,1801,10,10.156
59,1802,11,10.356
60,1803,10,10.366
61,1804,10,10.425999999999998
62,1805,11,10.53
63,1806,10,10.456
64,1807,10,10.3
65,1808,10,10.172
66,1809,9,9.898
67,1810,9,9.616
68,1811,9,9.47
69,1812,8,9.162
70,1813,10,9.128
71,1814,10,9.23
72,1815,9,9.158
73,1816,8,8.937999999999999
74,1817,9,8.978
75,1818,9,8.927999999999999
76,1819,9,8.856
77,1820,9,8.888
78,1821,9,9.05
79,1822,10,9.316
80,1823,9,9.294
81,1824,10,9.37
82,1825,11,9.74
83,1826,10,9.962
84,1827,11,10.104
85,1828,11,10.442
86,1829,10,10.515999999999998
87,1830,11,10.564
88,1831,9,10.33
89,1832,10,10.28
90,1833,11,10.22
91,1834,11,10.415999999999999
92,1835,9,10.082
93,1836,9,10.014
94,1837,9,9.832
95,1838,9,9.454
96,1839,11,9.384
97,1840,10,9.544
98,1841,10,9.774
99,1842,10,9.954
100,1843,9,9.948
101,1844,10,9.89
102,1845,11,9.962
103,1846,11,10.254000000000001
104,1847,9,10.036
105,1848,10,10.234
106,1849,9,10.046
107,1850,10,9.904
108,1851,10,9.68
109,1852,10,9.798
110,1853,10,9.886000000000001
111,1854,11,10.21
112,1855,10,10.174
113,1856,9,9.872
114,1857,9,9.66
115,1858,11,9.724
116,1859,10,9.484
117,1860,10,9.492
118,1861,10,9.684
119,1862,9,9.804
120,1863,10,9.644
121,1864,9,9.562000000000001
122,1865,10,9.596
123,1866,9,9.482000000000001
124,1867,9,9.496
125,1868,9,9.326
126,1869,9,9.202
127,1870,11,9.328
128,1871,10,9.5
129,1872,9,9.357999999999999
130,1873,9,9.35
131,1874,10,9.64
132,1875,8,9.09
133,1876,10,9.046
134,1877,11,9.437999999999999
135,1878,11,9.932
136,1879,10,9.918
137,1880,10,10.45
138,1881,10,10.562000000000001
139,1882,10,10.502
140,1883,8,9.924
141,1884,9,9.772
142,1885,8,9.272
143,1886,9,9.102
144,1887,10,8.954
145,1888,9,9.017999999999999
146,1889,10,9.152000000000001
147,1890,10,9.602
148,1891,10,9.78
149,1892,9,9.693999999999999
150,1893,9,9.728
151,1894,11,9.882
152,1895,9,9.704
153,1896,10,9.724
154,1897,10,9.892000000000001
155,1898,10,10.158
156,1899,10,10.024
157,1900,11,10.286
158,1901,10,10.182
159,1902,10,10.18
160,1903,10,10.046
161,1904,9,9.734
162,1905,9,9.492
163,1906,11,9.63
164,1907,9,9.486
165,1908,11,9.708
166,1909,10,9.974
167,1910,10,10.13
168,1911,11,10.192
169,1912,9,10.118
170,1913,11,10.148
171,1914,10,10.21
172,1915,10,10.166
173,1916,10,9.96
174,1917,8,9.782
175,1918,10,9.628
176,1919,11,9.716000000000001
177,1920,10,9.686
178,1921,12,10.174
179,1922,11,10.745999999999999
180,1923,10,10.758
181,1924,9,10.384
182,1925,10,10.404000000000002
183,1926,9,9.772
184,1927,11,9.696
185,1928,10,9.714
186,1929,9,9.816
187,1930,11,9.988
188,1931,12,10.642000000000001
189,1932,11,10.655999999999999
190,1933,11,10.832
191,1934,11,11.15
192,1935,10,10.994000000000002
193,1936,10,10.488
194,1937,10,10.364
195,1938,11,10.425999999999998
196,1939,11,10.522
197,1940,10,10.454
198,1941,11,10.764000000000001
199,1942,10,10.847999999999999
200,1943,10,10.512
201,1944,11,10.405999999999999
202,1945,10,10.464
203,1946,11,10.462
204,1947,10,10.424000000000001
205,1948,10,10.562000000000001
206,1949,11,10.634
207,1950,9,10.527999999999999
208,1951,9,10.132
209,1952,11,10.27
210,1953,12,10.522
211,1954,11,10.508
212,1955,11,10.824000000000002
213,1956,11,11.084000000000001
214,1957,10,10.985999999999999
215,1958,10,10.632
216,1959,10,10.495999999999999
217,1960,10,10.315999999999999
218,1961,11,10.288
219,1962,10,10.202
220,1963,10,10.2
221,1964,11,10.325999999999999
222,1965,10,10.372
223,1966,10,10.265999999999998
224,1967,10,10.236
225,1968,11,10.39
226,1969,10,10.184
227,1970,10,10.184
228,1971,11,10.29
229,1972,9,10.2
230,1973,12,10.378
231,1974,10,10.442
232,1975,11,10.538
233,1976,10,10.38
234,1977,10,10.594000000000001
235,1978,9,10.176
236,1979,9,9.98
237,1980,10,9.826
238,1981,11,9.976
239,1982,10,9.882
240,1983,11,10.177999999999999
241,1984,11,10.436
242,1985,10,10.448
243,1986,11,10.504000000000001
244,1987,12,10.914000000000001
245,1988,11,10.898
246,1989,10,10.725999999999999
247,1990,12,11.004000000000001
248,1991,12,11.155999999999999
249,1992,10,10.796
250,1993,10,10.66
251,1994,11,10.812000000000001
252,1995,11,10.626
253,1996,10,10.222000000000001
254,1997,10,10.202
255,1998,13,10.728
256,1999,12,10.96
257,2000,11,11.064
258,2001,12,11.492
259,2002,12,11.77
260,2003,10,11.304
261,2004,11,11.148
262,2005,12,11.245999999999999
263,2006,12,11.28
264,2007,11,11.264000000000001
265,2008,10,11.216
266,2009,10,11.088
267,2010,12,11.136
268,2011,11,11.004000000000001
269,2012,13,11.277999999999999
270,2013,12,11.548
