year,avg_temp,roll_average
1750,8.72,
1751,7.98,
1752,5.78,
1753,8.39,
1754,8.47,
1755,8.36,7.95
1756,8.85,7.971666667
1757,9.02,8.145
1758,6.74,8.305
1759,7.99,8.238333333
1760,7.19,8.025
1761,8.77,8.093333333
1762,8.61,8.053333333
1763,7.5,7.8
1764,8.4,8.076666667
1765,8.25,8.12
1766,8.41,8.323333333
1767,8.22,8.231666667
1768,6.78,7.926666667
1769,7.69,7.958333333
1770,7.69,7.84
1771,7.85,7.773333333
1772,8.19,7.736666667
1773,8.22,7.736666667
1774,8.77,8.068333333
1775,9.18,8.316666667
1776,8.3,8.418333333
1777,8.26,8.486666667
1778,8.54,8.545
1779,8.98,8.671666667
1780,9.43,8.781666667
1781,8.1,8.601666667
1782,7.9,8.535
1783,7.68,8.438333333
1784,7.86,8.325
1785,7.36,8.055
1786,8.26,7.86
1787,8.03,7.848333333
1788,8.45,7.94
1789,8.33,8.048333333
1790,7.98,8.068333333
1791,8.23,8.213333333
1792,8.09,8.185
1793,8.23,8.218333333
1794,8.53,8.231666667
1795,8.35,8.235
1796,8.27,8.283333333
1797,8.51,8.33
1798,8.67,8.426666667
1799,8.51,8.473333333
1800,8.48,8.465
1801,8.59,8.505
1802,8.58,8.556666667
1803,8.5,8.555
1804,8.84,8.583333333
1805,8.56,8.591666667
1806,8.43,8.583333333
1807,8.28,8.531666667
1808,7.63,8.373333333
1809,7.08,8.136666667
1810,6.92,7.816666667
1811,6.86,7.533333333
1812,7.05,7.303333333
1813,7.74,7.213333333
1814,7.59,7.206666667
1815,7.24,7.233333333
1816,6.94,7.236666667
1817,6.98,7.256666667
1818,7.83,7.386666667
1819,7.37,7.325
1820,7.62,7.33
1821,8.09,7.471666667
1822,8.19,7.68
1823,7.72,7.803333333
1824,8.55,7.923333333
1825,8.39,8.093333333
1826,8.36,8.216666667
1827,8.81,8.336666667
1828,8.17,8.333333333
1829,7.94,8.37
1830,8.52,8.365
1831,7.64,8.24
1832,7.45,8.088333333
1833,8.01,7.955
1834,8.15,7.951666667
1835,7.39,7.86
1836,7.7,7.723333333
1837,7.38,7.68
1838,7.51,7.69
1839,7.63,7.626666667
1840,7.8,7.568333333
1841,7.69,7.618333333
1842,8.02,7.671666667
1843,8.17,7.803333333
1844,7.65,7.826666667
1845,7.85,7.863333333
1846,8.55,7.988333333
1847,8.09,8.055
1848,7.98,8.048333333
1849,7.98,8.016666667
1850,7.9,8.058333333
1851,8.18,8.113333333
1852,8.1,8.038333333
1853,8.04,8.03
1854,8.21,8.068333333
1855,8.11,8.09
1856,8,8.106666667
1857,7.76,8.036666667
1858,8.1,8.036666667
1859,8.25,8.071666667
1860,7.96,8.03
1861,7.85,7.986666667
1862,7.56,7.913333333
1863,8.11,7.971666667
1864,7.98,7.951666667
1865,8.18,7.94
1866,8.29,7.995
1867,8.44,8.093333333
1868,8.25,8.208333333
1869,8.43,8.261666667
1870,8.2,8.298333333
1871,8.12,8.288333333
1872,8.19,8.271666667
1873,8.35,8.256666667
1874,8.43,8.286666667
1875,7.86,8.191666667
1876,8.08,8.171666667
1877,8.54,8.241666667
1878,8.83,8.348333333
1879,8.17,8.318333333
1880,8.12,8.266666667
1881,8.27,8.335
1882,8.13,8.343333333
1883,7.98,8.25
1884,7.77,8.073333333
1885,7.92,8.031666667
1886,7.95,8.003333333
1887,7.91,7.943333333
1888,8.09,7.936666667
1889,8.32,7.993333333
1890,7.97,8.026666667
1891,8.02,8.043333333
1892,8.07,8.063333333
1893,8.06,8.088333333
1894,8.16,8.1
1895,8.15,8.071666667
1896,8.21,8.111666667
1897,8.29,8.156666667
1898,8.18,8.175
1899,8.4,8.231666667
1900,8.5,8.288333333
1901,8.54,8.353333333
1902,8.3,8.368333333
1903,8.22,8.356666667
1904,8.09,8.341666667
1905,8.23,8.313333333
1906,8.38,8.293333333
1907,7.95,8.195
1908,8.19,8.176666667
1909,8.18,8.17
1910,8.22,8.191666667
1911,8.18,8.183333333
1912,8.17,8.148333333
1913,8.3,8.206666667
1914,8.59,8.273333333
1915,8.59,8.341666667
1916,8.23,8.343333333
1917,8.02,8.316666667
1918,8.13,8.31
1919,8.38,8.323333333
1920,8.36,8.285
1921,8.57,8.281666667
1922,8.41,8.311666667
1923,8.42,8.378333333
1924,8.51,8.441666667
1925,8.53,8.466666667
1926,8.73,8.528333333
1927,8.52,8.52
1928,8.63,8.556666667
1929,8.24,8.526666667
1930,8.63,8.546666667
1931,8.72,8.578333333
1932,8.71,8.575
1933,8.34,8.545
1934,8.63,8.545
1935,8.52,8.591666667
1936,8.55,8.578333333
1937,8.7,8.575
1938,8.86,8.6
1939,8.76,8.67
1940,8.76,8.691666667
1941,8.77,8.733333333
1942,8.73,8.763333333
1943,8.76,8.773333333
1944,8.85,8.771666667
1945,8.58,8.741666667
1946,8.68,8.728333333
1947,8.8,8.733333333
1948,8.75,8.736666667
1949,8.59,8.708333333
1950,8.37,8.628333333
1951,8.63,8.636666667
1952,8.64,8.63
1953,8.87,8.641666667
1954,8.56,8.61
1955,8.63,8.616666667
1956,8.28,8.601666667
1957,8.73,8.618333333
1958,8.77,8.64
1959,8.73,8.616666667
1960,8.58,8.62
1961,8.8,8.648333333
1962,8.75,8.726666667
1963,8.86,8.748333333
1964,8.41,8.688333333
1965,8.53,8.655
1966,8.6,8.658333333
1967,8.7,8.641666667
1968,8.52,8.603333333
1969,8.6,8.56
1970,8.7,8.608333333
1971,8.6,8.62
1972,8.5,8.603333333
1973,8.95,8.645
1974,8.47,8.636666667
1975,8.74,8.66
1976,8.35,8.601666667
1977,8.85,8.643333333
1978,8.69,8.675
1979,8.73,8.638333333
1980,8.98,8.723333333
1981,9.17,8.795
1982,8.64,8.843333333
1983,9.03,8.873333333
1984,8.69,8.873333333
1985,8.66,8.861666667
1986,8.83,8.836666667
1987,8.99,8.806666667
1988,9.2,8.9
1989,8.92,8.881666667
1990,9.23,8.971666667
1991,9.18,9.058333333
1992,8.84,9.06
1993,8.87,9.04
1994,9.04,9.013333333
1995,9.35,9.085
1996,9.04,9.053333333
1997,9.2,9.056666667
1998,9.52,9.17
1999,9.29,9.24
2000,9.2,9.266666667
2001,9.41,9.276666667
2002,9.57,9.365
2003,9.53,9.42
2004,9.32,9.386666667
2005,9.7,9.455
2006,9.53,9.51
2007,9.73,9.563333333
2008,9.43,9.54
2009,9.51,9.536666667
2010,9.7,9.6
2011,9.52,9.57
2012,9.51,9.566666667
2013,9.61,9.546666667
2014,9.57,9.57
2015,9.83,9.623333333
